,Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
2129,TRUSTMF Liquid Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, N/A," 1,032.35",5.06,-,-,"1,000.00",0.25,"1,000.00"
2130,TRUSTMF Liquid Fund-Reg(M-IDCW), Debt - Liquid Fund, Open ended, N/A," 1,038.21",5.20,-,-,"1,000.00",0.25,"1,000.00"
2131,Aditya Birla SL Multi-Cap Fund-Reg(G), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI, 12.24,1.24,-,-,"1,000.00",2.14,"1,000.00"
2132,Aditya Birla SL Multi-Cap Fund-Reg(IDCW), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI, 12.24,1.24,-,-,"1,000.00",2.14,"1,000.00"
2133,Quant Quantamental Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, NIFTY 500 - TRI, 13.77,19.95,-,-,"5,000.00",2.31,"1,000.00"
2134,Quant Quantamental Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, NIFTY 500 - TRI, 13.78,19.96,-,-,"5,000.00",2.31,"1,000.00"
2135,Baroda BNP Paribas Funds Aqua FoF-Reg(G), FoFs (Overseas), Open ended, MSCI World, 10.61,7.00,-,-,"5,000.00",1.62,N/A
2136,Baroda BNP Paribas Funds Aqua FoF-Reg(IDCW), FoFs (Overseas), Open ended, MSCI World, 10.61,7.00,-,-,"5,000.00",1.62,N/A
2137,HDFC Asset Allocator FoF-Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, N/A, 12.37,8.45,-,-,"1,000.00",1.25,"1,000.00"
2138,HDFC Asset Allocator FoF-Reg(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, N/A, 12.37,8.45,-,-,"1,000.00",1.25,"1,000.00"
2139,ICICI Pru Flexicap Fund(G), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI, 11.61,8.62,-,-,"5,000.00",1.78,"1,000.00"
2140,ICICI Pru Flexicap Fund(IDCW), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI, 11.61,8.72,-,-,"5,000.00",1.78,"1,000.00"
2141,ITI Ultra Short Duration Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index," 1,063.00",5.06,4.10,-,"5,000.00",0.95,"1,000.00"
